internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
20760,Rattus vandeuseni,"Stenomys vandeuseni (Taylor & Calaby, 1982)",Stenomys,vandeuseni,"(Taylor & Calaby, 1982)",,
2155,Aselliscus stoliczkanus,"Asellia stoliczkana Dobson, 1871",Asellia,stoliczkana,"Dobson, 1871",,
2155,Aselliscus stoliczkanus,"Aselliscus trifidus (Peters, 1871)",Aselliscus,trifidus,"(Peters, 1871)",,
2155,Aselliscus stoliczkanus,"Phyllorhina trifida Peters, 1871",Phyllorhina,trifida,"Peters, 1871",,
2155,Aselliscus stoliczkanus,"Triaenops wheeleri Osgood, 1932",Triaenops,wheeleri,"Osgood, 1932",,
2155,Aselliscus stoliczkanus,"Aselliscus wheeleri (Osgood, 1932)",Aselliscus,wheeleri,"(Osgood, 1932)",,
2461,Babyrousa babyrussa,"Babyrousa quadricornus Perry, 1811",Babyrousa,quadricornus,"Perry, 1811",,
2461,Babyrousa babyrussa,"Babyrousa frosti (Thomas, 1920)",Babyrousa,frosti,"(Thomas, 1920)",,
2461,Babyrousa babyrussa,"Babyrousa alfurus (Lesson, 1827)",Babyrousa,alfurus,"(Lesson, 1827)",,
2461,Babyrousa babyrussa,"Babyrousa orientalis (Brisson, 1762)",Babyrousa,orientalis,"(Brisson, 1762)",,
2461,Babyrousa babyrussa,"Babyrousa indicus (Kerr, 1792)",Babyrousa,indicus,"(Kerr, 1792)",,
2461,Babyrousa babyrussa,"Babyrousa babirousa (Linneaus, 1758) [orth. error]",Babyrousa,babirousa,"(Linneaus, 1758) [orth. error]",,
2461,Babyrousa babyrussa,"Babyrousa babirusa (Linneaus, 1758) [orth. error]",Babyrousa,babirusa,"(Linneaus, 1758) [orth. error]",,
2461,Babyrousa babyrussa,"Babyrousa babirussa (Linneaus, 1758) [orth. error]",Babyrousa,babirussa,"(Linneaus, 1758) [orth. error]",,
2461,Babyrousa babyrussa,"Babyrousa babyrussa ssp. babyrussa (Linnaeus, 1758)",Babyrousa,babyrussa,,subspecies,"(Linnaeus, 1758)"
2461,Babyrousa babyrussa,"Sus babyrussa Linneaus, 1758",Sus,babyrussa,"Linneaus, 1758",,
3842,Capromys pilorides,"Capromys gundlachius Varona, 1983",Capromys,gundlachius,"Varona, 1983",,
3842,Capromys pilorides,"Capromys acevedo (Arredondo, 1958)",Capromys,acevedo,"(Arredondo, 1958)",,
3842,Capromys pilorides,"Capromys garridoi Varona, 1970",Capromys,garridoi,"Varona, 1970",,
3842,Capromys pilorides,"Isodon pilorides Say, 1822",Isodon,pilorides,"Say, 1822",,
40540,Sarcophilus harrisii,"Ursinus harrisii Boitard, 1841",Ursinus,harrisii,"Boitard, 1841",,
41502,Galeopterus variegatus,"Cynocephalus variegatus (Audebert, 1799)",Cynocephalus,variegatus,"(Audebert, 1799)",,
41777,Pecari tajacu,"Pecari maximus M. van Roosmalen, Frenz, Hooft, de Iongh & Leirs, 2007",Pecari,maximus,"M. van Roosmalen, Frenz, Hooft, de Iongh & Leirs, 2007",,
42470,Spermophilus musicus,"Citellus pygmaeus Krassowsky, 1932 ssp. boehmi",Citellus,pygmaeus,"Krassowsky, 1932",subspecies,
42470,Spermophilus musicus,"Citellus pygmaeus Heptner, 1948 ssp. magistri",Citellus,pygmaeus,"Heptner, 1948",subspecies,
42655,Spalax zemni,"Spalax polonicus Méhely, 1909",Spalax,polonicus,"Méhely, 1909",,
42655,Spalax zemni,"Spalax podolicus Trouessart, 1897",Spalax,podolicus,"Trouessart, 1897",,
6081,Cynocephalus volans,"Cynocephalus philippinensis Waterhouse, 1838",Cynocephalus,philippinensis,"Waterhouse, 1838",,
6081,Cynocephalus volans,"Lemur volans Linnaeus, 1758",Lemur,volans,"Linnaeus, 1758",,
63543,Camelus ferus,"Camelus bactrianus Linnaeus, 1758",Camelus,bactrianus,"Linnaeus, 1758",,
9917,Nilgiritragus hylocrius,"Hemitragus hylocrius (Ogilby, 1838)",Hemitragus,hylocrius,"(Ogilby, 1838)",,
22781,Urocyon littoralis,"Vulpes littoralis Baird, 1857",Vulpes,littoralis,"Baird, 1857",,
22823,Ursus maritimus,"Thalarctos maritimus (Phipps, 1774)",Thalarctos,maritimus,"(Phipps, 1774)",,
1808,Aotus lemurinus,"Aotus hershkovitzi Ramirez-Cerquera, 1983",Aotus,hershkovitzi,"Ramirez-Cerquera, 1983",,
39915,Aotus brumbacki,"Aotus lemurinus ssp. brumbacki Hershkovitz, 1983",Aotus,lemurinus,,subspecies,"Hershkovitz, 1983"
41546,Alouatta sara,"Alouatta seniculus ssp. sara Eliot, 1910",Alouatta,seniculus,,subspecies,"Eliot, 1910"
914,Alouatta pigra,"Alouatta pigra ssp. luctuosa Lawrence, 1933",Alouatta,pigra,,subspecies,"Lawrence, 1933"
39961,Ateles hybridus,"Ateles belzebuth ssp. brunneus Gray, 1872",Ateles,belzebuth,,subspecies,"Gray, 1872"
19824,Leontocebus tripartitus,"Saguinus tripartitus (Milne-Edwards, 1878)",Saguinus,tripartitus,"(Milne-Edwards, 1878)",,
39945,Leontocebus nigricollis,"Saguinus nigricollis (Spix, 1823)",Saguinus,nigricollis,"(Spix, 1823)",,
39912,Mico leucippe,Callithrix argentata ssp. leucippe (Thomas 1922),Callithrix,argentata,,subspecies,(Thomas 1922)
39912,Mico leucippe,Callithrix leucippe (Thomas 1922),Callithrix,leucippe,(Thomas 1922),,
39912,Mico leucippe,Callithrix chrysoleuca ssp. leucippe Carvalho (1959),Callithrix,chrysoleuca,,subspecies,Carvalho (1959)
39912,Mico leucippe,Callithrix argentata ssp. leucippe Hershkoviktz (1977),Callithrix,argentata,,subspecies,Hershkoviktz (1977)
39912,Mico leucippe,"Callithrix leucippe Thomas, 1922",Callithrix,leucippe,"Thomas, 1922",,
39911,Mico intermedius,"Callithrix intermedia (Hershkovitz, 1977)",Callithrix,intermedia,"(Hershkovitz, 1977)",,
39913,Mico nigriceps,"Callithrix nigriceps Ferrari & Lopes, 1992",Callithrix,nigriceps,"Ferrari & Lopes, 1992",,
39827,Pygathrix cinerea,"Pygathrix nemaeus Nadler, 1997 ssp. cinerea",Pygathrix,nemaeus,"Nadler, 1997",subspecies,
39832,Semnopithecus entellus,"Semnopithecus entellus (Dufresne, 1797) ssp. entellus",Semnopithecus,entellus,"(Dufresne, 1797)",subspecies,
167543916,Semnopithecus hypoleucos,"Semnopithecus aeneas (Pocock, 1928)",Semnopithecus,aeneas,"(Pocock, 1928)",,
167543916,Semnopithecus hypoleucos,"Semnopithecus entellus ssp. hypoleucos (Blyth, 1841)",Semnopithecus,entellus,,subspecies,"(Blyth, 1841)"
167543916,Semnopithecus hypoleucos,"Semnopithecus achates (Pocock, 1928)",Semnopithecus,achates,"(Pocock, 1928)",,
167543916,Semnopithecus hypoleucos,"Semnopithecus dussumieri I. Geoffroy, 1843",Semnopithecus,dussumieri,"I. Geoffroy, 1843",,
39837,Semnopithecus hector,"Semnopithecus entellus (Dufresne, 1797) ssp. hector (Pocock, 1928)",Semnopithecus,entellus,"(Dufresne, 1797)",subspecies,"(Pocock, 1928)"
39840,Semnopithecus schistaceus,"Semnopithecus lania (Elliot, 1909)",Semnopithecus,lania,"(Elliot, 1909)",,
39840,Semnopithecus schistaceus,"Semnopithecus nipalensis Hodgson, 1840",Semnopithecus,nipalensis,"Hodgson, 1840",,
39840,Semnopithecus schistaceus,"Semnopithecus achilles (Pocock, 1928)",Semnopithecus,achilles,"(Pocock, 1928)",,
167546892,Semnopithecus priam,"Semnopithecus pallipes Blyth, 1844",Semnopithecus,pallipes,"Blyth, 1844",,
167546892,Semnopithecus priam,"Semnopithecus priamus Blyth, 1847",Semnopithecus,priamus,"Blyth, 1847",,
39833,Semnopithecus ajax,"Semnopithecus entellus ssp. ajax (Pocock, 1928)",Semnopithecus,entellus,,subspecies,"(Pocock, 1928)"
39833,Semnopithecus ajax,"Pithecuas entellus ssp. ajax Pocock, 1928",Pithecuas,entellus,,subspecies,"Pocock, 1928"
19597,Rhinopithecus bieti,"Pygathrix roxellana ssp. bieti (Milne-Edwards, 1897)",Pygathrix,roxellana,,subspecies,"(Milne-Edwards, 1897)"
5143,Colobus guereza,"Colobus abyssinicus (Oken, 1816)",Colobus,"abyssinicus (Oken, 1816) ",,,
5144,Colobus polykomos,"Cebus polykomos E.A.W. Zimmermann, 1780",Cebus,polykomos,"E.A.W. Zimmermann, 1780",,
4225,Cercopithecus petaurista,"Simia petaurista Schreber, 1774",Simia,petaurista,"Schreber, 1774",,
4222,Cercopithecus mona,"Simoa mona Schreber, 1775",Simoa,mona,"Schreber, 1775",,
4212,Cercopithecus ascanius,"Simia ascanius Audebert, 1799",Simia,ascanius,"Audebert, 1799",,
12563,Macaca tonkeana,"Macaca hypomelanus (Matschie, 1901)",Macaca,hypomelanus,"(Matschie, 1901)",,
12562,Macaca thibetana,"Macaca pullus (Howell, 1928)",Macaca,pullus,"(Howell, 1928)",,
12570,Macaca hecki,Macaca tonkeana ssp. hecki (Matschie 1901),Macaca,tonkeana,,subspecies,(Matschie 1901)
39795,Macaca siberu,"Macaca pagensis ssp. siberu Fuentes & Olson, 1995",Macaca,pagensis,,subspecies,"Fuentes & Olson, 1995"
12550,Macaca cyclopis,"Macaca affinis (Blyth, 1863)",Macaca,affinis,"(Blyth, 1863)",,
39794,Macaca pagensis,"Macaca mentaveensis de Beaux, 1923",Macaca,mentaveensis,"de Beaux, 1923",,
12549,Macaca assamensis,"Macaca macclellandii (Gray, 1846)",Macaca,macclellandii,"(Gray, 1846)",,
12549,Macaca assamensis,"Macaca coolidgei Osgood, 1932",Macaca,coolidgei,"Osgood, 1932",,
12549,Macaca assamensis,"Macaca rhesosimilis (Sclater, 1872)",Macaca,rhesosimilis,"(Sclater, 1872)",,
12549,Macaca assamensis,"Macaca problematicus (Gray, 1870)",Macaca,problematicus,"(Gray, 1870)",,
12549,Macaca assamensis,"Macaca sikimensis (Hodgson, 1867)",Macaca,sikimensis,"(Hodgson, 1867)",,
12556,Macaca nigra,"Macaca malayanus (Desmoulins, 1824)",Macaca,malayanus,"(Desmoulins, 1824)",,
12556,Macaca nigra,"Macaca lembicus (Miller, 1931)",Macaca,lembicus,"(Miller, 1931)",,
12554,Macaca mulatta,"Macaca siamica Kloss, 1917",Macaca,siamica,"Kloss, 1917",,
12554,Macaca mulatta,"Macaca mcmahoni Pocock, 1932",Macaca,mcmahoni,"Pocock, 1932",,
12554,Macaca mulatta,"Macaca rhesus (Audebert, 1798)",Macaca,rhesus,"(Audebert, 1798)",,
12554,Macaca mulatta,"Macaca brevicaudatus (Elliot, 1913)",Macaca,brevicaudatus,"(Elliot, 1913)",,
12554,Macaca mulatta,"Macaca erythraea (Shaw, 1800)",Macaca,erythraea,"(Shaw, 1800)",,
12554,Macaca mulatta,"Macaca littoralis (Elliot, 1909)",Macaca,littoralis,"(Elliot, 1909)",,
12554,Macaca mulatta,"Macaca brachyurus (Elliot, 1909)",Macaca,brachyurus,"(Elliot, 1909)",,
12554,Macaca mulatta,"Macaca fulvus (Kerr, 1792)",Macaca,fulvus,"(Kerr, 1792)",,
12554,Macaca mulatta,"Macaca nipalensis Hodgson, 1840",Macaca,nipalensis,"Hodgson, 1840",,
12554,Macaca mulatta,"Macaca lasiotus (Gray, 1868)",Macaca,lasiotus,"(Gray, 1868)",,
12554,Macaca mulatta,"Macaca sancti-johannis (Swinhoe, 1866)",Macaca,sancti-johannis,"(Swinhoe, 1866)",,
12554,Macaca mulatta,"Macaca villosa (True, 1894)",Macaca,villosa,"(True, 1894)",,
12554,Macaca mulatta,"Macaca oinops Hodgson, 1840",Macaca,oinops,"Hodgson, 1840",,
12554,Macaca mulatta,"Macaca tcheliensis (Milne-Edwards, 1872)",Macaca,tcheliensis,"(Milne-Edwards, 1872)",,
12554,Macaca mulatta,"Macaca vestita (Milne-Edwards, 1892)",Macaca,vestita,"(Milne-Edwards, 1892)",,
12560,Macaca sinica,"Macaca audeberti (Reichenbach, 1862)",Macaca,audeberti,"(Reichenbach, 1862)",,
12560,Macaca sinica,"Macaca inaurea Pocock, 1931",Macaca,inaurea,"Pocock, 1931",,
12560,Macaca sinica,"Macaca pileatus (Ogilby, 1838)",Macaca,pileatus,"(Ogilby, 1838)",,
12560,Macaca sinica,"Macaca longicaudata Deraniyagala, 1965",Macaca,longicaudata,"Deraniyagala, 1965",,
12559,Macaca silenus,"Macaca vetulus (Erxleben, 1777)",Macaca,vetulus,"(Erxleben, 1777)",,
12559,Macaca silenus,"Macaca albibarbatus (Kerr, 1792)",Macaca,albibarbatus,"(Kerr, 1792)",,
12559,Macaca silenus,"Macaca veter (Audebert, 1798)",Macaca,veter,"(Audebert, 1798)",,
12559,Macaca silenus,"Macaca ferox (Shaw, 1792)",Macaca,ferox,"(Shaw, 1792)",,
12754,Mandrillus sphinx,"Mandrillus sphinx ssp. madarogaster (Zimmerman, 1780)",Mandrillus,sphinx,,subspecies,"(Zimmerman, 1780)"
12754,Mandrillus sphinx,"Mandrillus sphinx ssp. insularis Zukowsky, 1926",Mandrillus,sphinx,,subspecies,"Zukowsky, 1926"
12754,Mandrillus sphinx,"Simia sphinx Linnaeus, 1758",Simia,sphinx,"Linnaeus, 1758",,
12753,Mandrillus leucophaeus,"Simia leucophaea F. Cuvier, 1807",Simia,leucophaea,"F. Cuvier, 1807",,
16019,Papio hamadryas,"Simia hamadryas Linnaeus, 1758",Simia,hamadryas,"Linnaeus, 1758",,
40647,Papio anubis,"Papio hamadryas ssp. anubis (Lesson, 1827)",Papio,hamadryas,,subspecies,"(Lesson, 1827)"
40647,Papio anubis,"Papio anubis ssp. furax Elliot, 1907",Papio,anubis,,subspecies,"Elliot, 1907"
40647,Papio anubis,"Papio anubis ssp. tessellatus Elliot, 1909",Papio,anubis,,subspecies,"Elliot, 1909"
40647,Papio anubis,"Papio anubis ssp. doguera (Pucheran & Schimper, 1856)",Papio,anubis,,subspecies,"(Pucheran & Schimper, 1856)"
40647,Papio anubis,"Papio anubis ssp. tibestianus Dekeyser & Derivot, 1960",Papio,anubis,,subspecies,"Dekeyser & Derivot, 1960"
40647,Papio anubis,"Papio anubis ssp. neumanni Matschie, 1897",Papio,anubis,,subspecies,"Matschie, 1897"
40647,Papio anubis,"Papio anubis ssp. heuglini Matschie, 1898",Papio,anubis,,subspecies,"Matschie, 1898"
40647,Papio anubis,"Simia anubis Lesson, 1827",Simia,anubis,"Lesson, 1827",,
18134,Presbytis siamensis,"Presbytis nubigena Elliot, 1909",Presbytis,nubigena,"Elliot, 1909",,
18134,Presbytis siamensis,"Presbytis nigrimanus (I. Geoffroy, 1843)",Presbytis,nigrimanus,"(I. Geoffroy, 1843)",,
18134,Presbytis siamensis,"Presbytis amsiri Kawamura, 1984",Presbytis,amsiri,"Kawamura, 1984",,
18134,Presbytis siamensis,"Presbytis catemana Lyon, 1908",Presbytis,catemana,"Lyon, 1908",,
18134,Presbytis siamensis,"Presbytis dilecta Elliot, 1909",Presbytis,dilecta,"Elliot, 1909",,
18132,Presbytis thomasi,"Presbytis nubilus Miller, 1942",Presbytis,nubilus,"Miller, 1942",,
39811,Presbytis melalophos,"Presbytis aurata (Muller & Schlegel, 1861)",Presbytis,aurata,"(Muller & Schlegel, 1861)",,
39811,Presbytis melalophos,"Presbytis batuanus Miller, 1903",Presbytis,batuanus,"Miller, 1903",,
39811,Presbytis melalophos,"Presbytis ferrugineus (Schlegel, 1876)",Presbytis,ferrugineus,"(Schlegel, 1876)",,
39811,Presbytis melalophos,"Presbytis flavimanus (I. Geoffroy, 1831)",Presbytis,flavimanus,"(I. Geoffroy, 1831)",,
39811,Presbytis melalophos,"Presbytis fluviatilis (Chasen, 1940)",Presbytis,fluviatilis,"(Chasen, 1940)",,
39811,Presbytis melalophos,"Presbytis fusco-murina Elliot, 1906",Presbytis,fusco-murina,"Elliot, 1906",,
39811,Presbytis melalophos,"Presbytis margae Hooijer, 1948",Presbytis,margae,"Hooijer, 1948",,
39811,Presbytis melalophos,"Presbytis nobilis (Gray, 1842)",Presbytis,nobilis,"(Gray, 1842)",,
39811,Presbytis melalophos,"Presbytis melalophos ssp. melalophos (Raffles, 1821)",Presbytis,melalophos,,subspecies,"(Raffles, 1821)"
39815,Presbytis potenziani,"Presbytis potenziani ssp. potenziani (Bonaparte, 1856)",Presbytis,potenziani,,subspecies,"(Bonaparte, 1856)"
39815,Presbytis potenziani,"Presbytis chrysogaster (Peters, 1867)",Presbytis,chrysogaster,"(Peters, 1867)",,
18127,Presbytis frontata,"Presbytis nudifrons Elliot, 1909",Presbytis,nudifrons,"Elliot, 1909",,
18127,Presbytis frontata,"Semnopithecus frontatus Möller, 1838",Semnopithecus,frontatus,"Möller, 1838",,
39803,Presbytis chrysomelas,"Presbytis arwasca Miller, 1934",Presbytis,arwasca,"Miller, 1934",,
39803,Presbytis chrysomelas,"Presbytis femoralis ssp. chrysomelas (Müller, 1838)",Presbytis,femoralis,,subspecies,"(Müller, 1838)"
39803,Presbytis chrysomelas,"Presbytis keatii Robinson & Kloss, 1991",Presbytis,keatii,"Robinson & Kloss, 1991",,
39803,Presbytis chrysomelas,"Presbytis neglectus (Schlegel, 1876)",Presbytis,neglectus,"(Schlegel, 1876)",,
39803,Presbytis chrysomelas,"Presbytis australis Miller, 1913",Presbytis,australis,"Miller, 1913",,
136500,Presbytis natunae,"Presbytis saimaensis ssp. natunae (Thomas & Hartet, 1894)",Presbytis,saimaensis,,subspecies,"(Thomas & Hartet, 1894)"
136500,Presbytis natunae,"Presbytis femoralis ssp. natuae (Thomas & Hartet, 1894)",Presbytis,femoralis,,subspecies,"(Thomas & Hartet, 1894)"
136500,Presbytis natunae,"Presbytis melalophos ssp. natuae (Thomas & Hartet, 1894)",Presbytis,melalophos,,subspecies,"(Thomas & Hartet, 1894)"
4203,Cercocebus sanjei,"Cercocebus galeritus ssp. sanjei Mittermeier, 1986",Cercocebus,galeritus,,subspecies,"Mittermeier, 1986"
4207,Cercocebus chrysogaster,"Cercocebus galeritus ssp. chrysogaster Lydekker, 1900",Cercocebus,galeritus,,subspecies,"Lydekker, 1900"
4200,Cercocebus galeritus,"Cercocebus galeritus ssp. galeritus Peters, 1879",Cercocebus,galeritus,,subspecies,"Peters, 1879"
136291,Chlorocebus cynosuros,"Cercopithecus cynosurus (Scopoli, 1786)",Cercopithecus,cynosurus,"(Scopoli, 1786)",,
136291,Chlorocebus cynosuros,"Simia cynosuros Scopoli, 1786",Simia,cynosuros,"Scopoli, 1786",,
136265,Chlorocebus sabaeus,"Cercopithecus sabaeus (Linnaeus, 1766)",Cercopithecus,sabaeus,"(Linnaeus, 1766)",,
136265,Chlorocebus sabaeus,"Simia sabaea Linnaeus, 1766",Simia,sabaea,"Linnaeus, 1766",,
136208,Chlorocebus tantalus,"Cercopithecus tantalus Ogilby, 1841",Cercopithecus,tantalus,"Ogilby, 1841",,
44694,Semnopithecus johnii,"Trachypithecus leonina (Shaw, 1800)",Trachypithecus,leonina,"(Shaw, 1800)",,
44694,Semnopithecus johnii,"Trachypithecus cucullatus (Fischer, 1829)",Trachypithecus,cucullatus,"(Fischer, 1829)",,
44694,Semnopithecus johnii,"Trachypithecus jubatus (Wagner, 1839)",Trachypithecus,jubatus,"(Wagner, 1839)",,
44694,Semnopithecus johnii,"Trachypithecus johnii (J. Fischer, 1829)",Trachypithecus,johnii,"(J. Fischer, 1829)",,
39853,Trachypithecus francoisi,"Trachypithecus francoisi ssp. francoisi (Pousargues, 1858)",Trachypithecus,francoisi,,subspecies,"(Pousargues, 1858)"
22042,Semnopithecus vetulus,"Trachypithecus vetulus (Erxleben, 1777)",Trachypithecus,vetulus,"(Erxleben, 1777)",,
39871,Trachypithecus poliocephalus,"Trachypithecus poliocephalus ssp. poliocephalus (Pousargues, 1898)",Trachypithecus,poliocephalus,,subspecies,"(Pousargues, 1898)"
22035,Trachypithecus cristatus,"Trachypithecus ultima (Elliot, 1910)",Trachypithecus,ultima,"(Elliot, 1910)",,
22035,Trachypithecus cristatus,"Trachypithecus pullata (Thomas & Wroughton, 1909)",Trachypithecus,pullata,"(Thomas & Wroughton, 1909)",,
22035,Trachypithecus cristatus,"Trachypithecus pruinosus (Desmarest, 1822)",Trachypithecus,pruinosus,"(Desmarest, 1822)",,
22035,Trachypithecus cristatus,"Trachypithecus rutledgii (Anderson, 1878)",Trachypithecus,rutledgii,"(Anderson, 1878)",,
41554,Trachypithecus barbei,"Trachypithecus atrior (Pocock, 1928)",Trachypithecus,atrior,"(Pocock, 1928)",,
22039,Trachypithecus obscurus,"Trachypithecus leucomystax (Müller & Schlegel, 1841)",Trachypithecus,leucomystax,"(Müller & Schlegel, 1841)",,
22039,Trachypithecus obscurus,"Trachypithecus corvus (Miller, 1913)",Trachypithecus,corvus,"(Miller, 1913)",,
22039,Trachypithecus obscurus,"Trachypithecus corax Pocock, 1934",Trachypithecus,corax,"Pocock, 1934",,
22039,Trachypithecus obscurus,"Trachypithecus smithii (Kloss, 1916)",Trachypithecus,smithii,"(Kloss, 1916)",,
22039,Trachypithecus obscurus,"Trachypithecus ruhei (Knottnerus-Meyer, 1933)",Trachypithecus,ruhei,"(Knottnerus-Meyer, 1933)",,
39869,Trachypithecus shortridgei,"Trachypithecus belliger (Wroughton, 1915)",Trachypithecus,belliger,"(Wroughton, 1915)",,
136791,Rungwecebus kipunji,"Lophocebus kipunji (Ehardt, Butynski, Jones & Davenport, 2005)",Lophocebus,kipunji,"(Ehardt, Butynski, Jones & Davenport, 2005)",,
136214,Sciurocheirus gabonensis,"Gallago alleni ssp. gabonensis Gray, 1863",Gallago,alleni,,subspecies,"Gray, 1863"
8265,Euoticus elegantulus,"Microcebus elegantulus Le Conte, 1857",Microcebus,elegantulus,"Le Conte, 1857",,
40652,Paragalago rondoensis,"Galago rondoensis Honess in Kingdon, 1997",Galago,rondoensis,"Honess in Kingdon, 1997",,
40652,Paragalago rondoensis,"Galagoides rondoensis (Honess in Kingdon, 1997)",Galagoides,rondoensis,"(Honess in Kingdon, 1997)",,
40649,Galagoides demidoff,"Galagoides demidovii ssp. medius (Thomas, 1915)",Galagoides,demidovii,,subspecies,"(Thomas, 1915)"
40649,Galagoides demidoff,"Galagoides demidovii ssp. poensis (Thomas, 1904)",Galagoides,demidovii,,subspecies,"(Thomas, 1904)"
40649,Galagoides demidoff,"Galagoides demidovii ssp. anomurus (de Pousargues, 1896)",Galagoides,demidovii,,subspecies,"(de Pousargues, 1896)"
40649,Galagoides demidoff,"Galagoides demidovii ssp. pusillus (Peters, 1876)",Galagoides,demidovii,,subspecies,"(Peters, 1876)"
40649,Galagoides demidoff,"Galagoides demidovii ssp. phasma Cabrera & Ruxton, 1926",Galagoides,demidovii,,subspecies,"Cabrera & Ruxton, 1926"
40649,Galagoides demidoff,"Galago demidovii G. Fischer, 1806 [orth. error]",Galago,demidovii,"G. Fischer, 1806 [orth. error]",,
40649,Galagoides demidoff,"Galligoides demidovii ssp. murinus (Murray, 1859)",Galligoides,demidovii,,subspecies,"(Murray, 1859)"
40649,Galagoides demidoff,"Galagoides demidovii (G. Fischer, 1806) [orth. error]",Galagoides,demidovii,"(G. Fischer, 1806) [orth. error]",,
40649,Galagoides demidoff,"Galago demidoff G. Fischer, 1806",Galago,demidoff,"G. Fischer, 1806",,
91970347,Paragalago granti,"Galagoides nyasae (Elliot, 1907)",Galagoides,nyasae,"(Elliot, 1907)",,
91970347,Paragalago granti,"Galago granti Thomas & Wroughton, 1907",Galago,granti,"Thomas & Wroughton, 1907",,
91970347,Paragalago granti,"Galagoides granti (Thomas & Wroughton, 1907)",Galagoides,granti,"(Thomas & Wroughton, 1907)",,
40653,Galagoides thomasi,"Galago thomasi Elliot, 1907",Galago,thomasi,"Elliot, 1907",,
136212,Paragalago cocos,"Galago moholi ssp. cocos Heller, 1912",Galago,moholi,,subspecies,"Heller, 1912"
136212,Paragalago cocos,"Galagoides cocos (Heller, 1912)",Galagoides,cocos,"(Heller, 1912)",,
8787,Galago matschiei,"Galago senegalensis ssp. inustus Schwartz, 1931",Galago,senegalensis,,subspecies,"Schwartz, 1931"
8787,Galago matschiei,"Galago inustus Schwartz, 1930",Galago,inustus,"Schwartz, 1930",,
15643,Otolemur crassicaudatus,"Galago crassicaudatus É. Geoffroy Saint-Hilaire, 1812",Galago,crassicaudatus,"É. Geoffroy Saint-Hilaire, 1812",,
